,0,1,2,3
202001010501,馬連,3 - 4,6570,16
202001010501,ワイド,3 - 4br2 - 3br2 - 4,"1,310br710br600",14br8br6
202001010501,馬単,3 → 4,16800,30
202001010501,三連複,2 - 3 - 4,7540,21
202001010501,三連単,3 → 4 → 2,70120,136
202001010502,単勝,1,1210,4
202001010502,複勝,1br5br2,150br110br110,3br2br1
202001010502,馬連,1 - 5,1290,4
202001010502,ワイド,1 - 5br1 - 2br2 - 5,340br260br130,4br2br1
202001010502,馬単,1 → 5,3890,15
202001010502,三連複,1 - 2 - 5,530,1
202001010502,三連単,1 → 5 → 2,8610,28
202001010503,単勝,9,210,1
202001010503,複勝,9br10br1,130br260br310,1br4br6
202001010503,枠連,6 - 6,1590,6
202001010503,馬連,9 - 10,1400,4
202001010503,ワイド,9 - 10br1 - 9br1 - 10,"520br580br1,700",3br5br21
202001010503,馬単,9 → 10,1830,5
202001010503,三連複,1 - 9 - 10,4280,11
202001010503,三連単,9 → 10 → 1,14860,29
202001010504,単勝,11,420,2
202001010504,複勝,11br10br8,180br760br200,2br10br4
202001010504,枠連,6 - 7,3510,11
202001010504,馬連,10 - 11,8940,31
202001010504,ワイド,10 - 11br8 - 11br8 - 10,"2,520br500br2,440",35br3br33
202001010504,馬単,11 → 10,12920,46
202001010504,三連複,8 - 10 - 11,11060,40
202001010504,三連単,11 → 10 → 8,73910,247
202001010505,単勝,6,270,1
202001010505,複勝,6br7br5,130br220br130,1br5br2
202001010505,枠連,6 - 7,2180,8
202001010505,馬連,6 - 7,1700,7
202001010505,ワイド,6 - 7br5 - 6br5 - 7,580br250br710,8br1br9
202001010505,馬単,6 → 7,2400,9
202001010505,三連複,5 - 6 - 7,1750,6
202001010505,三連単,6 → 7 → 5,9580,30
202001010506,単勝,9,370,2
202001010506,複勝,9br10br1,130br120br890,2br1br11
202001010506,枠連,5 - 5,520,2
202001010506,馬連,9 - 10,510,1
202001010506,ワイド,9 - 10br1 - 9br1 - 10,"240br3,710br3,420",1br40br37
202001010506,馬単,9 → 10,1010,2
202001010506,三連複,1 - 9 - 10,10770,34
